State | Easternmost Zip | Westernmost Zip | Northernmost Zip | Southernmost Zip
---------------------------------------------------------------
AP | 96337 96208 
FL | 32701 32714 32715 32716 
CA | 95221 
VA | 24517 
MO | 63732 
FL | 32421 
AR | 72004 
NY | 13302 
MI | 49302 
NM | 88312 
GA | 30510 
TX | 75925 
IL | 62905 
AL | 35015 
MO | 65606 
UT | 84710 
KS | 67623 
NH | 3809 
IA | 51003 
VA | 24520 
NY | 14413 
IL | 62002 
NH | 3810 
NY | 12910 
IL | 61414 
UT | 84002 
WI | 54720 
KS | 66710 
AL | 35952 
FL | 32702 
IA | 50009 
PA | 16601 16602 16603 
MN | 55910 
FL | 33820 
CA | 96101 
OK | 73522 73521 
AR | 72821 
OK | 73523 
PA | 15521 
WV | 26321 25003 
OK | 73717 
FL | 33920 
WY | 82711 
OH | 44802 
OR | 97409 
MN | 56710 
TX | 76009 
KY | 42122 
PA | 15710 15612 
TX | 77512 77511 
IL | 61811 
CA | 95002 
NE | 68304 
IA | 51230 
TX | 76225 
OH | 43501 
MT | 59311 
LA | 70031 
AZ | 85645 
CA | 95601 
NY | 11930 
AR | 72005 
NM | 87512 
IA | 52203 52204 
OH | 43102 
WA | 98526 
NV | 89020 
TX | 79117 79106 79159 79116 79114 79103 79168 79111 79101 79185 79102 79172 79189 79104 79107 79174 79178 79108 79124 79105 79121 79120 79109 79110 79119 79118 79166 
MI | 49903 
NY | 10501 
MO | 64421 
OK | 73004 
WI | 54102 
PA | 17210 
IN | 47917 
PA | 19002 
AK | 99786 
CA | 92304 
IN | 46911 
IL | 61310 
WA | 98601 
MN | 56010 
PA | 15003 
ND | 58833 
GA | 31512 
OH | 45102 
LA | 70340 
NE | 68711 
VA | 23002 
ND | 58004 
NY | 12501 
CA | 94503 
ID | 83211 
UT | 84003 
GA | 31719 31709 
KS | 66835 
WI | 54001 
IA | 50010 50013 
OK | 73718 
NE | 68621 
IA | 50014 50012 50011 
MA | 1913 
OH | 45711 
MA | 1002 1003 
NE | 68812 
TX | 79312 
NH | 3031 
VA | 24521 
OH | 44001 
SD | 57421 
MA | 1004 
WI | 54406 
CO | 80721 
WI | 54407 
WV | 25607 
ND | 58620 
WV | 25811 
VA | 20106 
NM | 88410 
LA | 70422 
AR | 71921 
OR | 97101 
PA | 15311 
MO | 64422 
NY | 11701 
OH | 43002 
WV | 25005 
VA | 23822 
IN | 46103 
VA | 24601 
MO | 64722 
OK | 73719 
MS | 38821 
MO | 64723 
OH | 43903 
NY | 12010 
CT | 6231 
MO | 63431 
LA | 71403 
MT | 59711 
WA | 98221 
OK | 73005 
CA | 92809 92807 92808 92806 92805 92804 92899 92815 92812 92803 92802 92850 92801 92816 92817 92814 92825 
HI | 96703 
TX | 77514 
AK | 99721 
PA | 18320 
ND | 58710 
IA | 52205 
WA | 99401 
WV | 24808 
IL | 61720 
AK | 99556 99521 99522 99523 99524 99529 99695 99520 99530 99517 99599 99507 99504 99508 99503 99509 99502 99510 99511 99513 99514 99515 99516 99501 99519 99518 
MI | 48004 
IL | 61311 
NY | 12502 12503 
KS | 67001 
AL | 36421 36420 
IL | 61232 
CA | 96007 
IN | 46018 46016 46017 46014 46013 46012 
SC | 29622 
IN | 46015 46011 
TX | 77830 
AL | 35610 
SC | 29621 29623 29624 29625 29626 
AK | 99744 
MO | 64831 
WA | 98303 
GA | 31711 
TN | 37705 
NY | 13731 
MA | 5501 
NH | 3216 
NY | 14806 
OH | 44003 
MA | 5544 1810 
CT | 6232 
IL | 61233 
MN | 55304 
ME | 4216 
NJ | 7821 
VA | 24215 
MA | 1899 
KS | 67002 
IA | 52701 
MA | 1812 
SD | 57422 
PA | 18211 
IA | 52030 
TX | 79714 
SC | 29510 
IN | 46702 
NC | 28901 
MD | 20762 
ND | 58212 
UT | 84510 
NM | 87710 
MT | 59312 
NY | 14709 
CA | 95222 92305 
LA | 70426 
NC | 27501 
MN | 56711 
TX | 77515 77516 
IN | 46703 
NY | 14006 
LA | 70712 
AK | 99820 
NE | 69331 
MN | 55703 
MS | 38721 
CA | 94508 
AK | 99557 
NM | 88020 
PA | 15711 
IA | 50020 
WI | 54408 
IA | 50021 50023 
WV | 26323 
MI | 48103 48104 48105 48109 48106 48107 48113 48108 
TX | 75409 
OH | 45302 
IL | 62906 
FL | 34216 
UT | 84711 
MO | 63330 
VA | 22003 
MN | 55302 
NJ | 8801 
NY | 12504 
MD | 21405 21409 21411 21401 21402 
CA | 95412 
IL | 62413 
MD | 21404 
MO | 63620 
MD | 21403 21412 20701 
IL | 61234 
AL | 36201 36205 36206 36202 36204 36207 
MO | 63820 
TX | 75550 
PA | 17003 
KY | 40402 
MN | 55303 
NE | 68813 68814 
TX | 79501 
ME | 4911 
OH | 45303 
CT | 6401 
NC | 28007 
WV | 25812 
MT | 59211 
OR | 97001 
CA | 95843 
PA | 17720 
IA | 51004 
KS | 67003 
TX | 79821 
NM | 88021 
FL | 32617 
WI | 54409 
UT | 84712 
TN | 37011 37013 
IL | 60002 
CA | 94531 94509 
ND | 58711 
OK | 74523 
AR | 71922 
TX | 79313 
CO | 80801 
NM | 87711 
CO | 81120 
NH | 3440 
OH | 45813 
NY | 13608 
AK | 99558 
CA | 92539 
OK | 73006 
AZ | 85120 85119 
FL | 32329 32320 
NY | 13732 
NC | 27539 27523 27502 
TN | 37302 
IA | 50604 
PA | 15613 
FL | 33572 32703 32704 32712 
VA | 24216 
OH | 44606 
WV | 25502 
IL | 61001 
TX | 75926 
CA | 92307 92308 
MI | 48401 
CA | 95703 
WI | 54913 54914 54915 54912 54911 
WA | 98602 
WI | 54919 
NY | 14008 
MN | 56208 
MO | 64724 
GA | 30802 
VA | 24522 
